stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1888,1888,SB Nellis before Cheyenne,,36.222038,-115.062309,,,,,,0
1890,1890,NB Nellis after Owens,,36.189591,-115.062055,,,,,,0
1891,1891,SB Nellis after Owens,,36.188441,-115.062328,,,,,,0
1892,1892,SB Nellis after Pancho Villa,,36.109389,-115.064597,,,,,,0
1894,1894,NB Nellis after Sahara,,36.144967,-115.065305,,,,,,0
1895,1895,SB Nellis after Sahara,,36.143751,-115.065621,,,,,,0
1896,1896,SB Nellis after Silverado Dr,,36.094868,-115.064147,,,,,,0
1897,1897,NB Nellis after Spyglass Hill,,36.142,-115.065337,,,,,,0
1898,1898,SB Nellis before Charleston,,36.161909,-115.062408,,,,,,0
1899,1899,NB Nellis after Stewart,,36.167202,-115.061925,,,,,,0
1900,1900,SB Nellis after Stewart,,36.165815,-115.062249,,,,,,0
1901,1901,NB Nellis after Sun Valley,,36.105119,-115.06412,,,,,,0
1902,1902,NB Nellis after Tropicana,,36.101108,-115.063848,,,,,,0
1903,1903,SB Nellis after Tropicana,,36.099733,-115.064076,,,,,,0
1904,1904,NB Nellis after Twain,,36.122798,-115.06494,,,,,,0
1905,1905,SB Nellis after Twain,,36.12171,-115.06523,,,,,,0
1906,1906,NB Nellis after Vegas Valley,,36.13789,-115.065376,,,,,,0
1907,1907,SB Nellis after Vegas Valley,,36.13636,-115.06572,,,,,,0
1908,1908,NB Nellis after Vista Flora,,36.126629,-115.06509,,,,,,0
1909,1909,SB Nellis after Vista Flora,,36.12589,-115.06539,,,,,,0
1911,1911,NB Nellis after Washington,,36.182191,-115.062052,,,,,,0
1912,1912,SB Nellis after Washington,,36.180697,-115.062319,,,,,,0
1913,1913,NB Nellis after Winterwood,,36.154239,-115.06357,,,,,,0
1915,1915,WB Nevada after Elm,,35.97399,-114.842619,,,,,,0
1916,1916,EB Boulder City after Gingerwood,,35.968297,-114.860318,,,,,,0
1917,1917,WB Boulder City after Gingerwood,,35.968648,-114.861109,,,,,,0
1918,1918,WB Nevada after Birch,,35.975609,-114.839727,,,,,,0
1975,1975,EB Harrison after D,,36.187988,-115.146738,,,,,,0
1976,1976,WB Owens after D,,36.188549,-115.148098,,,,,,0
1978,1978,WB Owens after H,,36.188537,-115.153109,,,,,,0
1979,1979,EB Owens before H,,36.188289,-115.15252,,,,,,0
1980,1980,EB Owens after J,,36.188318,-115.155839,,,,,,0
1981,1981,WB Owens after J,,36.188579,-115.156958,,,,,,0
1982,1982,EB Owens after N,,36.188338,-115.159647,,,,,,0
1983,1983,EB Owens after 21st,,36.188358,-115.119909,,,,,,0
1984,1984,EB Owens across from Ruben Diaz Ele,,36.188358,-115.075497,,,,,,0
1985,1985,EB Owens after Arthur,,36.188269,-115.110617,,,,,,0
1989,1989,EB Owens after Bruce,,36.188338,-115.124387,,,,,,0
1990,1990,WB Owens after Bruce,,36.188549,-115.12571,,,,,,0
1993,1993,WB Owens after Civic Center,,36.188588,-115.116567,,,,,,0
1994,1994,EB Owens after Davis,,36.188338,-115.137588,,,,,,0
1995,1995,WB Owens after Davis,,36.188579,-115.138198,,,,,,0
1997,1997,EB Owens after Eastern,,36.188384,-115.114902,,,,,,0
1998,1998,EB Owens before Vegasgreen,,36.188318,-115.082888,,,,,,0
1999,1999,WB Owens before Walnut,,36.18849,-115.088069,,,,,,0
2002,2002,EB Owens before Hoover,,36.188329,-115.127567,,,,,,0
2003,2003,WB Owens after Hoover,,36.188537,-115.128677,,,,,,0
2004,2004,EB Owens before Las Vegas,,36.188347,-115.134422,,,,,,0
2005,2005,WB Owens after Las Vegas,,36.188529,-115.13468,,,,,,0
2006,2006,EB Owens after Lamb,,36.188378,-115.078737,,,,,,0
2007,2007,WB Owens after Lamont,,36.188748,-115.06716,,,,,,0
2012,2012,WB Owens after Marion,,36.188599,-115.071477,,,,,,0
2013,2013,EB Owens before Nellis,,36.188537,-115.066488,,,,,,0
2014,2014,WB Owens before McDaniels,,36.188568,-115.120347,,,,,,0
2015,2015,EB Owens after Mojave,,36.188189,-115.106468,,,,,,0
2017,2017,WB Owens before Nellis,,36.188958,-115.061179,,,,,,0
2019,2019,WB Owens after Nellis,,36.188919,-115.06275,,,,,,0
2021,2021,WB Owens after James,,36.188397,-115.106408,,,,,,0
2022,2022,EB Owens after Palmer,,36.1881,-115.102229,,,,,,0
2023,2023,WB Owens after Patricia,,36.18851,-115.112039,,,,,,0
2024,2024,EB Owens after Pecos,,36.18802,-115.097759,,,,,,0
2025,2025,WB Owens after Pecos,,36.188238,-115.099029,,,,,,0
2026,2026,EB Owens after Sandhill,,36.188218,-115.088328,,,,,,0
2028,2028,WB Owens after Stevens,,36.188397,-115.092769,,,,,,0
2029,2029,EB Owens after Stevens,,36.188147,-115.091798,,,,,,0
2032,2032,EB Owens after Thata,,36.188349,-115.071657,,,,,,0
2033,2033,WB Owens before Lamb,,36.188619,-115.076865,,,,,,0
2043,2043,SB Palm after Charleston,,36.158112,-115.101221,,,,,,0
2044,2044,SB Palm after Olive,,36.154004,-115.101121,,,,,,0
2045,2045,NB Palm before Olive,,36.154228,-115.100908,,,,,,0
2056,2056,SB Paradise before Sahara,,36.144961,-115.154323,,,,,,0
2058,2058,SB Paradise after Corporate,,36.117915,-115.155069,,,,,,0
2059,2059,SB Paradise after Desert Inn,,36.128798,-115.154991,,,,,,0
2061,2061,SB Paradise after Flamingo,,36.113658,-115.153908,,,,,,0
2062,2062,SB Paradise after Gus Giuffre,,36.09718,-115.148821,,,,,,0
2063,2063,SB Paradise before Harmon,,36.110145,-115.152867,,,,,,0
2064,2064,SB Paradise after Harmon,,36.107581,-115.152036,,,,,,0
2065,2065,SB Paradise after Naples,,36.105001,-115.151239,,,,,,0
2066,2066,SB Paradise after Elvis Presley,,36.134836,-115.154977,,,,,,0
